Student_ID,Student_Name,Email,Course_ID,Course_Name,Exam_Type,Score,Attendance_Date,Attendance_Status
6,Laurie Adams,nathanandrews@yahoo.com,203,Physics,Final,52,2025-07-18,present
7,Lisa Harris,mmiller@dunn-wilkerson.com,203,Physics,Midterm,64,2025-06-25,present
7,Lisa Harris,mmiller@dunn-wilkerson.com,203,Physics,Final,74,2025-07-28,absent
7,Lisa Harris,mmiller@dunn-wilkerson.com,201,Mathematics,Midterm,79,2025-06-19,absent
7,Lisa Harris,mmiller@dunn-wilkerson.com,201,Mathematics,Final,60,2025-06-10,absent
8,Joseph Sanders,aalvarado@yahoo.com,203,Physics,Midterm,92,2025-07-05,absent
8,Joseph Sanders,aalvarado@yahoo.com,203,Physics,Final,94,2025-06-29,present
8,Joseph Sanders,aalvarado@yahoo.com,202,English,Midterm,88,2025-06-15,present
8,Joseph Sanders,aalvarado@yahoo.com,202,English,Final,84,2025-07-03,present
9,Chad Baker,jonesjohn@hotmail.com,202,English,Midterm,74,2025-06-08,absent
9,Chad Baker,jonesjohn@hotmail.com,202,English,Final,90,2025-06-09,present
9,Chad Baker,jonesjohn@hotmail.com,204,Biology,Midterm,93,2025-08-01,absent
9,Chad Baker,jonesjohn@hotmail.com,204,Biology,Final,99,2025-07-11,present
10,Angela Ford,katieclark@hotmail.com,202,English,Midterm,70,2025-06-15,absent
10,Angela Ford,katieclark@hotmail.com,202,English,Final,67,2025-06-26,present
10,Angela Ford,katieclark@hotmail.com,201,Mathematics,Midterm,63,2025-06-25,absent
10,Angela Ford,katieclark@hotmail.com,201,Mathematics,Final,63,2025-06-07,absent
11,Roy Hart,russocynthia@gmail.com,204,Biology,Midterm,59,2025-06-20,absent
11,Roy Hart,russocynthia@gmail.com,204,Biology,Final,58,2025-07-29,present
11,Roy Hart,russocynthia@gmail.com,205,History,Midterm,97,2025-06-17,absent
11,Roy Hart,russocynthia@gmail.com,205,History,Final,97,2025-07-03,absent
12,Nancy Jones,jamie56@hubbard.com,205,History,Midterm,73,2025-06-17,present
12,Nancy Jones,jamie56@hubbard.com,205,History,Final,58,2025-06-24,absent
12,Nancy Jones,jamie56@hubbard.com,204,Biology,Midterm,55,2025-07-06,present
12,Nancy Jones,jamie56@hubbard.com,204,Biology,Final,57,2025-07-07,present
13,Michaela Mcguire,amber34@hotmail.com,202,English,Midterm,88,2025-07-06,present
13,Michaela Mcguire,amber34@hotmail.com,202,English,Final,74,2025-07-22,absent
13,Michaela Mcguire,amber34@hotmail.com,204,Biology,Midterm,88,2025-06-21,absent
13,Michaela Mcguire,amber34@hotmail.com,204,Biology,Final,83,2025-07-13,absent
14,Brandon Martinez,mcdanieljose@sims.com,205,History,Midterm,93,2025-07-11,present
14,Brandon Martinez,mcdanieljose@sims.com,205,History,Final,93,2025-06-10,absent
14,Brandon Martinez,mcdanieljose@sims.com,201,Mathematics,Midterm,99,2025-07-14,absent
14,Brandon Martinez,mcdanieljose@sims.com,201,Mathematics,Final,57,2025-06-12,absent
15,Michael Morgan,keithlang@hotmail.com,204,Biology,Midterm,79,2025-07-03,present
15,Michael Morgan,keithlang@hotmail.com,204,Biology,Final,96,2025-06-23,absent
15,Michael Morgan,keithlang@hotmail.com,202,English,Midterm,82,2025-06-27,present
15,Michael Morgan,keithlang@hotmail.com,202,English,Final,82,2025-06-15,present
16,Nicole Lee,kevin38@thompson-gregory.com,203,Physics,Midterm,59,2025-07-23,absent
16,Nicole Lee,kevin38@thompson-gregory.com,203,Physics,Final,98,2025-06-26,present
16,Nicole Lee,kevin38@thompson-gregory.com,202,English,Midterm,84,2025-06-10,present
16,Nicole Lee,kevin38@thompson-gregory.com,202,English,Final,88,2025-07-31,absent
17,Jeffrey Ramirez,chloebaird@hotmail.com,204,Biology,Midterm,57,2025-07-23,absent
17,Jeffrey Ramirez,chloebaird@hotmail.com,204,Biology,Final,69,2025-07-06,present
17,Jeffrey Ramirez,chloebaird@hotmail.com,201,Mathematics,Midterm,53,2025-07-31,present
17,Jeffrey Ramirez,chloebaird@hotmail.com,201,Mathematics,Final,86,2025-07-16,present
18,Andrew Herrera,kimstewart@gmail.com,201,Mathematics,Midterm,54,2025-06-27,present
18,Andrew Herrera,kimstewart@gmail.com,201,Mathematics,Final,58,2025-08-02,absent
18,Andrew Herrera,kimstewart@gmail.com,204,Biology,Midterm,85,2025-08-02,present
18,Andrew Herrera,kimstewart@gmail.com,204,Biology,Final,66,2025-07-07,absent
19,Larry Torres,houstondonald@hotmail.com,202,English,Midterm,95,2025-07-02,absent
19,Larry Torres,houstondonald@hotmail.com,202,English,Final,75,2025-06-21,absent
19,Larry Torres,houstondonald@hotmail.com,205,History,Midterm,78,2025-07-31,absent
19,Larry Torres,houstondonald@hotmail.com,205,History,Final,57,2025-07-20,present
20,Christopher Cervantes,blong@peck.com,202,English,Midterm,71,2025-07-21,present
20,Christopher Cervantes,blong@peck.com,202,English,Final,87,2025-07-29,present
20,Christopher Cervantes,blong@peck.com,201,Mathematics,Midterm,87,2025-06-09,present
20,Christopher Cervantes,blong@peck.com,201,Mathematics,Final,50,2025-06-19,present
21,Amanda Day,jasmine34@richardson.com,201,Mathematics,Midterm,54,2025-07-27,present
21,Amanda Day,jasmine34@richardson.com,201,Mathematics,Final,71,2025-06-15,present
21,Amanda Day,jasmine34@richardson.com,202,English,Midterm,82,2025-06-21,present
21,Amanda Day,jasmine34@richardson.com,202,English,Final,67,2025-06-28,absent
22,Christine Walker,amberrandolph@diaz-randall.com,202,English,Midterm,96,2025-07-19,absent
22,Christine Walker,amberrandolph@diaz-randall.com,202,English,Final,65,2025-06-26,absent
22,Christine Walker,amberrandolph@diaz-randall.com,205,History,Midterm,76,2025-06-19,present
22,Christine Walker,amberrandolph@diaz-randall.com,205,History,Final,56,2025-07-30,present
23,Anthony Bush,wallacebrian@gmail.com,204,Biology,Midterm,77,2025-06-05,absent
23,Anthony Bush,wallacebrian@gmail.com,204,Biology,Final,79,2025-06-24,present
23,Anthony Bush,wallacebrian@gmail.com,203,Physics,Midterm,93,2025-07-20,present
23,Anthony Bush,wallacebrian@gmail.com,203,Physics,Final,53,2025-07-20,absent
24,Gregory Reyes,graykelly@harris.org,203,Physics,Midterm,65,2025-06-29,present
24,Gregory Reyes,graykelly@harris.org,203,Physics,Final,62,2025-07-01,absent
24,Gregory Reyes,graykelly@harris.org,201,Mathematics,Midterm,58,2025-06-16,absent
24,Gregory Reyes,graykelly@harris.org,201,Mathematics,Final,61,2025-07-28,absent
25,Alyssa Williams,fvillegas@garcia.org,204,Biology,Midterm,54,2025-07-30,absent
25,Alyssa Williams,fvillegas@garcia.org,204,Biology,Final,85,2025-07-04,present
25,Alyssa Williams,fvillegas@garcia.org,202,English,Midterm,53,2025-07-11,present
25,Alyssa Williams,fvillegas@garcia.org,202,English,Final,55,2025-07-08,present
26,Michael Jones DDS,kelsey87@yahoo.com,202,English,Midterm,81,2025-07-03,absent
26,Michael Jones DDS,kelsey87@yahoo.com,202,English,Final,63,2025-06-17,absent
26,Michael Jones DDS,kelsey87@yahoo.com,204,Biology,Midterm,53,2025-07-29,present
26,Michael Jones DDS,kelsey87@yahoo.com,204,Biology,Final,74,2025-06-10,present
27,Christina Alvarado,dknox@hotmail.com,204,Biology,Midterm,100,2025-07-22,absent
27,Christina Alvarado,dknox@hotmail.com,204,Biology,Final,68,2025-06-14,absent
27,Christina Alvarado,dknox@hotmail.com,203,Physics,Midterm,94,2025-06-18,absent
27,Christina Alvarado,dknox@hotmail.com,203,Physics,Final,59,2025-07-31,present
28,Monica Smith,tbrown@tran-yates.com,203,Physics,Midterm,53,2025-06-08,present
28,Monica Smith,tbrown@tran-yates.com,203,Physics,Final,97,2025-06-11,absent
28,Monica Smith,tbrown@tran-yates.com,202,English,Midterm,53,2025-07-08,present
28,Monica Smith,tbrown@tran-yates.com,202,English,Final,87,2025-07-05,absent
29,Ian Garrett,mikebradley@mendoza-roy.net,205,History,Midterm,53,2025-07-21,present
29,Ian Garrett,mikebradley@mendoza-roy.net,205,History,Final,61,2025-07-05,present
29,Ian Garrett,mikebradley@mendoza-roy.net,202,English,Midterm,88,2025-06-20,present
29,Ian Garrett,mikebradley@mendoza-roy.net,202,English,Final,93,2025-07-13,present
30,Leslie Mcdowell,sarahjackson@ray.biz,204,Biology,Midterm,86,2025-07-18,present
30,Leslie Mcdowell,sarahjackson@ray.biz,204,Biology,Final,87,2025-07-27,present
30,Leslie Mcdowell,sarahjackson@ray.biz,201,Mathematics,Midterm,89,2025-07-03,present
30,Leslie Mcdowell,sarahjackson@ray.biz,201,Mathematics,Final,76,2025-07-03,absent
31,Denise Jackson,djones@gmail.com,203,Physics,Midterm,92,2025-07-21,absent
31,Denise Jackson,djones@gmail.com,203,Physics,Final,65,2025-07-09,absent
31,Denise Jackson,djones@gmail.com,202,English,Midterm,75,2025-06-25,present
31,Denise Jackson,djones@gmail.com,202,English,Final,92,2025-07-22,absent
32,Alan Bates,kristen32@wilson-frey.com,204,Biology,Midterm,98,2025-07-29,present
32,Alan Bates,kristen32@wilson-frey.com,204,Biology,Final,50,2025-07-21,absent
32,Alan Bates,kristen32@wilson-frey.com,203,Physics,Midterm,89,2025-06-04,present
32,Alan Bates,kristen32@wilson-frey.com,203,Physics,Final,54,2025-07-11,present
33,Jennifer Garcia,nicolegutierrez@flores-taylor.com,205,History,Midterm,58,2025-06-21,absent
33,Jennifer Garcia,nicolegutierrez@flores-taylor.com,205,History,Final,54,2025-06-13,present
33,Jennifer Garcia,nicolegutierrez@flores-taylor.com,203,Physics,Midterm,73,2025-08-02,absent
33,Jennifer Garcia,nicolegutierrez@flores-taylor.com,203,Physics,Final,60,2025-06-08,absent
34,Jose Wagner,leejessica@hotmail.com,205,History,Midterm,89,2025-07-23,present
34,Jose Wagner,leejessica@hotmail.com,205,History,Final,92,2025-06-14,absent
34,Jose Wagner,leejessica@hotmail.com,203,Physics,Midterm,92,2025-07-21,present
34,Jose Wagner,leejessica@hotmail.com,203,Physics,Final,58,2025-06-20,absent
35,Peggy Esparza,sanchezlauren@kelley.com,201,Mathematics,Midterm,97,2025-07-03,present
35,Peggy Esparza,sanchezlauren@kelley.com,201,Mathematics,Final,67,2025-07-03,absent
35,Peggy Esparza,sanchezlauren@kelley.com,205,History,Midterm,88,2025-07-06,present
35,Peggy Esparza,sanchezlauren@kelley.com,205,History,Final,95,2025-07-15,absent
36,Susan Huerta,gmurphy@hotmail.com,202,English,Midterm,82,2025-06-04,absent
36,Susan Huerta,gmurphy@hotmail.com,202,English,Final,66,2025-06-29,present
36,Susan Huerta,gmurphy@hotmail.com,203,Physics,Midterm,55,2025-06-09,absent
36,Susan Huerta,gmurphy@hotmail.com,203,Physics,Final,67,2025-06-18,present
37,Jean House,timlawrence@yahoo.com,201,Mathematics,Midterm,99,2025-07-18,present
37,Jean House,timlawrence@yahoo.com,201,Mathematics,Final,90,2025-06-07,absent
37,Jean House,timlawrence@yahoo.com,203,Physics,Midterm,60,2025-07-08,absent
37,Jean House,timlawrence@yahoo.com,203,Physics,Final,85,2025-07-11,absent
38,Melissa Gross,veronica18@hoover-jimenez.org,205,History,Midterm,57,2025-06-29,present
38,Melissa Gross,veronica18@hoover-jimenez.org,205,History,Final,94,2025-07-11,present
38,Melissa Gross,veronica18@hoover-jimenez.org,201,Mathematics,Midterm,84,2025-06-09,present
38,Melissa Gross,veronica18@hoover-jimenez.org,201,Mathematics,Final,73,2025-07-28,present
39,Anthony Ruiz,longana@smith-petersen.com,204,Biology,Midterm,52,2025-08-01,absent
39,Anthony Ruiz,longana@smith-petersen.com,204,Biology,Final,73,2025-07-22,present
39,Anthony Ruiz,longana@smith-petersen.com,202,English,Midterm,72,2025-06-11,present
39,Anthony Ruiz,longana@smith-petersen.com,202,English,Final,93,2025-07-28,present
40,Justin Douglas,gtaylor@hill-smith.com,201,Mathematics,Midterm,99,2025-06-12,absent
40,Justin Douglas,gtaylor@hill-smith.com,201,Mathematics,Final,89,2025-06-04,present
40,Justin Douglas,gtaylor@hill-smith.com,203,Physics,Midterm,65,2025-06-26,present
40,Justin Douglas,gtaylor@hill-smith.com,203,Physics,Final,61,2025-06-24,absent
41,Jeffery Reynolds,amanda42@gmail.com,201,Mathematics,Midterm,97,2025-07-29,absent
41,Jeffery Reynolds,amanda42@gmail.com,201,Mathematics,Final,100,2025-06-11,absent
41,Jeffery Reynolds,amanda42@gmail.com,202,English,Midterm,92,2025-06-25,present
41,Jeffery Reynolds,amanda42@gmail.com,202,English,Final,67,2025-07-21,present
42,Donna Dodson,ryanbishop@gmail.com,201,Mathematics,Midterm,52,2025-07-23,absent
42,Donna Dodson,ryanbishop@gmail.com,201,Mathematics,Final,64,2025-07-08,present
42,Donna Dodson,ryanbishop@gmail.com,204,Biology,Midterm,79,2025-07-28,absent
42,Donna Dodson,ryanbishop@gmail.com,204,Biology,Final,69,2025-06-29,present
43,Caleb Sullivan,kpotter@yahoo.com,202,English,Midterm,92,2025-06-25,present
43,Caleb Sullivan,kpotter@yahoo.com,202,English,Final,75,2025-06-14,absent
43,Caleb Sullivan,kpotter@yahoo.com,201,Mathematics,Midterm,67,2025-07-23,present
43,Caleb Sullivan,kpotter@yahoo.com,201,Mathematics,Final,99,2025-07-20,absent
44,Samuel Bryant,anna35@christensen-garcia.com,203,Physics,Midterm,93,2025-07-27,absent
44,Samuel Bryant,anna35@christensen-garcia.com,203,Physics,Final,51,2025-07-23,present
44,Samuel Bryant,anna35@christensen-garcia.com,204,Biology,Midterm,66,2025-07-30,present
44,Samuel Bryant,anna35@christensen-garcia.com,204,Biology,Final,87,2025-06-07,absent
45,Maria Hunter,dennisbrown@hotmail.com,201,Mathematics,Midterm,88,2025-07-25,absent
45,Maria Hunter,dennisbrown@hotmail.com,201,Mathematics,Final,72,2025-06-20,absent
45,Maria Hunter,dennisbrown@hotmail.com,205,History,Midterm,77,2025-07-15,present
45,Maria Hunter,dennisbrown@hotmail.com,205,History,Final,74,2025-06-07,present
46,Joseph Lewis,ghurst@archer.org,203,Physics,Midterm,95,2025-06-16,absent
46,Joseph Lewis,ghurst@archer.org,203,Physics,Final,50,2025-06-15,present
46,Joseph Lewis,ghurst@archer.org,201,Mathematics,Midterm,73,2025-07-19,absent
46,Joseph Lewis,ghurst@archer.org,201,Mathematics,Final,54,2025-07-18,absent
47,Thomas Jones,justinsoto@gallegos.com,205,History,Midterm,92,2025-07-14,present
47,Thomas Jones,justinsoto@gallegos.com,205,History,Final,96,2025-06-13,absent
47,Thomas Jones,justinsoto@gallegos.com,203,Physics,Midterm,82,2025-06-14,absent
47,Thomas Jones,justinsoto@gallegos.com,203,Physics,Final,92,2025-07-20,absent
48,Heather Medina,kelleyjennifer@yahoo.com,203,Physics,Midterm,94,2025-06-22,absent
48,Heather Medina,kelleyjennifer@yahoo.com,203,Physics,Final,85,2025-06-15,present
48,Heather Medina,kelleyjennifer@yahoo.com,204,Biology,Midterm,62,2025-07-03,absent
48,Heather Medina,kelleyjennifer@yahoo.com,204,Biology,Final,92,2025-06-21,absent
49,Victoria Day,bonnie27@hotmail.com,202,English,Midterm,75,2025-06-25,present
49,Victoria Day,bonnie27@hotmail.com,202,English,Final,69,2025-06-08,absent
49,Victoria Day,bonnie27@hotmail.com,203,Physics,Midterm,63,2025-07-02,absent
49,Victoria Day,bonnie27@hotmail.com,203,Physics,Final,100,2025-07-11,absent
50,William Allen,matthew67@gray.com,204,Biology,Midterm,78,2025-07-02,present
50,William Allen,matthew67@gray.com,204,Biology,Final,82,2025-07-27,absent
50,William Allen,matthew67@gray.com,205,History,Midterm,100,2025-06-21,present
50,William Allen,matthew67@gray.com,205,History,Final,92,2025-06-17,present
